Cathode,Cathode,phot,22,phot,15.7273,1.274e-05
Cathode,Cathode,phot,22,phot,15.7273,2.044e-05
Cathode,Cathode,phot,22,phot,15.7273,2.027e-05
Cathode,Cathode,phot,22,phot,15.7275,1.283e-05
Cathode,Cathode,phot,22,phot,15.7275,3.839e-05
Cathode,Cathode,phot,22,phot,15.7275,1.274e-05
Cathode,Cathode,phot,22,phot,15.7275,1.283e-05
Cathode,Cathode,phot,22,phot,15.7275,1.274e-05
Cathode,Cathode,phot,22,phot,15.7275,2.044e-05
Cathode,Cathode,phot,22,phot,15.7275,2.565e-05
Cathode,Cathode,phot,22,phot,15.7275,1.291e-05
Cathode,Cathode,phot,22,phot,15.7275,2.027e-05
Cathode,Cathode,phot,22,phot,15.7275,2.582e-05
Cathode,Cathode,phot,22,phot,15.7274,5.13e-05
Cathode,Cathode,phot,22,phot,15.7274,2.565e-05
Cathode,Cathode,phot,22,phot,15.7274,2.548e-05
Cathode,Cathode,phot,22,phot,15.7274,2.027e-05
Cathode,Cathode,phot,22,phot,15.7269,1.274e-05
Cathode,Cathode,phot,22,phot,15.7269,0
Cathode,Cathode,phot,22,phot,15.7269,2.565e-05
Cathode,Cathode,phot,22,phot,15.7272,2.044e-05
Cathode,Cathode,phot,22,phot,15.7272,1.291e-05
Cathode,Cathode,phot,22,phot,15.7272,2.582e-05
Cathode,Cathode,phot,22,phot,15.7272,2.566e-05
Cathode,Cathode,phot,22,phot,15.7272,2.565e-05
Cathode,Cathode,phot,22,phot,15.7272,2.582e-05
Cathode,Cathode,phot,22,phot,15.7272,0
Cathode,Cathode,phot,22,phot,15.7272,1.274e-05
