Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary SupportRod,eIoni,-11.000000,4.168217,-0.999635,-1.779216,9.000000,0.000295
Secondary SupportRod,eIoni,-11.000000,4.168249,-0.999635,-1.778828,9.000000,0.000174
Secondary SupportRod,eIoni,-11.000000,4.168306,-0.999635,-1.777938,9.000000,0.000503
Secondary SupportRod,eIoni,-11.000000,4.168320,-0.999635,-1.777694,9.000000,0.000232
Secondary SupportRod,eIoni,-11.000000,4.168335,-0.999635,-1.777440,9.000000,0.000139
Secondary SupportRod,eIoni,-11.000000,4.168335,-0.999635,-1.777438,9.000000,0.000022
Secondary SupportRod,eIoni,-11.000000,4.168365,-0.999635,-1.777143,9.000000,0.000151
Secondary SupportRod,eIoni,-11.000000,4.168368,-0.999635,-1.777113,9.000000,0.000057
Secondary SupportRod,eIoni,-11.000000,4.168417,-0.999635,-1.776623,9.000000,0.000548
Secondary SupportRod,eIoni,-11.000000,4.168446,-0.999635,-1.776249,9.000000,0.000338
Secondary SupportRod,eIoni,-11.000000,4.168464,-0.999635,-1.775953,9.000000,0.000102
Secondary SupportRod,eIoni,-11.000000,4.168468,-0.999635,-1.775852,9.000000,0.000187
Secondary SupportRod,eIoni,-11.000000,4.168483,-0.999635,-1.775500,9.000000,0.000173
Secondary SupportRod,eIoni,-11.000000,4.168512,-0.999635,-1.774720,9.000000,0.000301
Secondary SupportRod,eIoni,-11.000000,4.168540,-0.999635,-1.774191,9.000000,0.000227
Secondary SupportRod,eIoni,-11.000000,4.168538,-0.999635,-1.774091,9.000000,0.000205
Secondary SupportRod,eIoni,-11.000000,4.168537,-0.999635,-1.773920,9.000000,0.000104
Secondary SupportRod,eIoni,-11.000000,4.168535,-0.999635,-1.772483,9.000000,0.001006
Secondary SupportRod,eIoni,-11.000000,4.168542,-0.999635,-1.772226,9.000000,0.000250
Secondary SupportRod,eIoni,-11.000000,4.168553,-0.999635,-1.771795,9.000000,0.000417
Secondary SupportRod,eIoni,-11.000000,4.168578,-0.999634,-1.770977,9.000000,0.000696
Secondary SupportRod,eIoni,-11.000000,4.168581,-0.999634,-1.770937,9.000000,0.000024
Secondary SupportRod,eIoni,-11.000000,4.168588,-0.999634,-1.770859,9.000000,0.000010
Secondary SupportRod,eIoni,-11.000000,4.168614,-0.999634,-1.770558,9.000000,0.000223
Secondary SupportRod,eIoni,-11.000000,4.168621,-0.999634,-1.770502,9.000000,0.000028
Secondary SupportRod,eIoni,-11.000000,4.168640,-0.999634,-1.770349,9.000000,0.000241
Secondary SupportRod,eIoni,-11.000000,4.168640,-0.999634,-1.770349,9.000000,0.000010
Secondary SupportRod,eIoni,-11.000000,4.168738,-0.999634,-1.769610,9.000000,0.000506
Secondary SupportRod,eIoni,-11.000000,4.168757,-0.999634,-1.769489,9.000000,0.000131
Secondary SupportRod,eIoni,-11.000000,4.168779,-0.999634,-1.769353,9.000000,0.000103
Secondary SupportRod,eIoni,-11.000000,4.168794,-0.999634,-1.769267,9.000000,0.000118
Secondary SupportRod,eIoni,-11.000000,4.168821,-0.999633,-1.769111,9.000000,0.000258
Secondary SupportRod,eIoni,-11.000000,4.168831,-0.999633,-1.769041,9.000000,0.000036
Secondary SupportRod,eIoni,-11.000000,4.168839,-0.999633,-1.768988,9.000000,0.000119
Secondary SupportRod,eIoni,-11.000000,4.168850,-0.999633,-1.768918,9.000000,0.000065
Secondary SupportRod,eIoni,-11.000000,4.168867,-0.999633,-1.768805,9.000000,0.000066
Secondary SupportRod,eIoni,-11.000000,4.168877,-0.999633,-1.768725,9.000000,0.000141
Secondary SupportRod,eIoni,-11.000000,4.168994,-0.999633,-1.767831,9.000000,0.000788
Secondary SupportRod,eIoni,-11.000000,4.169040,-0.999633,-1.767922,9.000000,0.000186
Secondary SupportRod,eIoni,-11.000000,4.169060,-0.999633,-1.767986,9.000000,0.000121
Secondary SupportRod,eIoni,-11.000000,4.169139,-0.999632,-1.768280,9.000000,0.000454
Secondary SupportRod,eIoni,-11.000000,4.169255,-0.999632,-1.768633,9.000000,0.000457
Secondary SupportRod,eIoni,-11.000000,4.169322,-0.999632,-1.769052,9.000000,0.000704
Secondary SupportRod,eIoni,-11.000000,4.169345,-0.999632,-1.769187,9.000000,0.000138
Secondary SupportRod,eIoni,-11.000000,4.169376,-0.999632,-1.769299,9.000000,0.000196
Secondary SupportRod,eIoni,-11.000000,4.169465,-0.999632,-1.769630,9.000000,0.000500
Secondary SupportRod,eIoni,-11.000000,4.169527,-0.999632,-1.769798,9.000000,0.000417
Secondary SupportRod,eIoni,-11.000000,4.169556,-0.999632,-1.769875,9.000000,0.000161
