Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary Gas,hIoni,2212.000000,14.581803,-0.556357,1.481086,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.581876,-0.556359,1.481093,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.582270,-0.556370,1.481132,1.000000,0.000361
Secondary Gas,hIoni,2212.000000,14.582453,-0.556375,1.481150,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,14.582878,-0.556387,1.481191,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.583678,-0.556410,1.481269,1.000000,0.000019
Secondary Gas,hIoni,2212.000000,14.583723,-0.556411,1.481274,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.583864,-0.556415,1.481288,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.584103,-0.556421,1.481311,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.586174,-0.556480,1.481513,1.000000,0.000918
Secondary Gas,hIoni,2212.000000,14.587454,-0.556516,1.481638,1.000000,0.000238
Secondary Gas,hIoni,2212.000000,14.587632,-0.556521,1.481655,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.588525,-0.556546,1.481742,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,14.590715,-0.556608,1.481955,1.000000,0.000622
Secondary Gas,hIoni,2212.000000,14.590997,-0.556615,1.481983,1.000000,0.000053
Secondary Gas,hIoni,2212.000000,14.592111,-0.556647,1.482091,1.000000,0.000094
Secondary Gas,hIoni,2212.000000,14.592618,-0.556661,1.482141,1.000000,0.000042
Secondary Gas,hIoni,2212.000000,14.593454,-0.556685,1.482222,1.000000,0.000024
Secondary Gas,hIoni,2212.000000,14.593832,-0.556696,1.482259,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.594150,-0.556704,1.482290,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,14.594813,-0.556723,1.482354,1.000000,0.000688
Secondary Gas,hIoni,2212.000000,14.595282,-0.556736,1.482400,1.000000,0.000031
Secondary Gas,hIoni,2212.000000,14.595327,-0.556738,1.482404,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.596001,-0.556757,1.482470,1.000000,0.000331
Secondary Gas,hIoni,2212.000000,14.596095,-0.556759,1.482479,1.000000,0.000079
Secondary Gas,hIoni,2212.000000,14.596447,-0.556769,1.482513,1.000000,0.000069
Secondary Gas,hIoni,2212.000000,14.596551,-0.556772,1.482524,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.596581,-0.556773,1.482526,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.597022,-0.556785,1.482569,1.000000,0.000245
Secondary Gas,hIoni,2212.000000,14.597371,-0.556795,1.482603,1.000000,0.000298
Secondary Gas,hIoni,2212.000000,14.597959,-0.556812,1.482660,1.000000,0.000263
Secondary Gas,hIoni,2212.000000,14.597976,-0.556812,1.482662,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,14.598380,-0.556823,1.482701,1.000000,0.001068
Secondary Gas,hIoni,2212.000000,14.598688,-0.556832,1.482731,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.598729,-0.556833,1.482735,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.599014,-0.556841,1.482763,1.000000,0.000042
Secondary Gas,hIoni,2212.000000,14.600431,-0.556881,1.482900,1.000000,0.000250
Secondary Gas,hIoni,2212.000000,14.600468,-0.556882,1.482904,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.600654,-0.556888,1.482922,1.000000,0.000045
Secondary Gas,hIoni,2212.000000,14.600673,-0.556888,1.482924,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.601097,-0.556900,1.482965,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.601680,-0.556917,1.483021,1.000000,0.000356
Secondary Gas,hIoni,2212.000000,14.601849,-0.556922,1.483038,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.602459,-0.556939,1.483096,1.000000,0.000016
Secondary Gas,hIoni,2212.000000,14.602788,-0.556948,1.483128,1.000000,0.000294
Secondary Gas,hIoni,2212.000000,14.602802,-0.556949,1.483129,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.603041,-0.556956,1.483153,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.603601,-0.556971,1.483206,1.000000,0.000038
Secondary Gas,hIoni,2212.000000,14.604473,-0.556996,1.483290,1.000000,0.000787
Secondary Gas,hIoni,2212.000000,14.607172,-0.557073,1.483549,1.000000,0.000341
Secondary Gas,hIoni,2212.000000,14.607485,-0.557082,1.483579,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.607563,-0.557084,1.483587,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.607736,-0.557089,1.483603,1.000000,0.000067
Secondary Gas,hIoni,2212.000000,14.608304,-0.557105,1.483658,1.000000,0.000123
Secondary Gas,hIoni,2212.000000,14.608739,-0.557118,1.483699,1.000000,0.000026
Secondary Gas,hIoni,2212.000000,14.608773,-0.557118,1.483703,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.608801,-0.557119,1.483705,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.608848,-0.557121,1.483710,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.609038,-0.557126,1.483728,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.609058,-0.557127,1.483730,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.609726,-0.557146,1.483794,1.000000,0.000141
Secondary Gas,hIoni,2212.000000,14.609737,-0.557146,1.483796,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.610090,-0.557156,1.483829,1.000000,0.000008
Secondary Gas,hIoni,2212.000000,14.610171,-0.557158,1.483837,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.611091,-0.557185,1.483926,1.000000,0.000148
Secondary Gas,hIoni,2212.000000,14.613820,-0.557262,1.484188,1.000000,0.001314
Secondary Gas,hIoni,2212.000000,14.613950,-0.557266,1.484200,1.000000,0.000403
Secondary Gas,hIoni,2212.000000,14.616154,-0.557329,1.484412,1.000000,0.000916
Secondary Gas,hIoni,2212.000000,14.616444,-0.557337,1.484439,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,14.616758,-0.557346,1.484469,1.000000,0.000031
Secondary Gas,hIoni,2212.000000,14.616759,-0.557346,1.484470,1.000000,0.000000
