Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Gas,hIoni,2212.000000,11.876470,0.156140,-1.763600,1.000000,0.000558
Secondary Gas,hIoni,2212.000000,11.876510,0.156141,-1.763603,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.877207,0.156150,-1.763669,1.000000,0.000224
Secondary Gas,hIoni,2212.000000,11.879940,0.156188,-1.763926,1.000000,0.001101
Secondary Gas,hIoni,2212.000000,11.881448,0.156209,-1.764067,1.000000,0.000211
Secondary Gas,hIoni,2212.000000,11.882661,0.156226,-1.764180,1.000000,0.000422
Secondary Gas,hIoni,2212.000000,11.884096,0.156245,-1.764314,1.000000,0.000074
Secondary Gas,hIoni,2212.000000,11.885560,0.156265,-1.764450,1.000000,0.000408
Secondary Gas,hIoni,2212.000000,11.885609,0.156266,-1.764455,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.885633,0.156266,-1.764457,1.000000,0.000000
