Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Gas,neutronInelastic,2112.000000,9.491037,0.286495,2.281513,0.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.494820,0.285986,2.281110,1.000000,0.000215
Secondary ,Gas,ionIoni,1000070140.000000,9.494821,0.285986,2.281110,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.494824,0.285985,2.281109,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.494828,0.285985,2.281109,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.494837,0.285984,2.281108,1.000000,0.000010
Secondary ,Gas,ionIoni,1000070140.000000,9.494848,0.285982,2.281107,1.000000,0.000053
Secondary ,Gas,ionIoni,1000070140.000000,9.494851,0.285982,2.281106,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.494867,0.285980,2.281105,1.000000,0.000171
Secondary ,Gas,ionIoni,1000070140.000000,9.494883,0.285977,2.281103,1.000000,0.000571
Secondary ,Gas,ionIoni,1000070140.000000,9.494902,0.285975,2.281101,1.000000,0.000331
Secondary ,Gas,ionIoni,1000070140.000000,9.494924,0.285972,2.281098,1.000000,0.000100
Secondary ,Gas,ionIoni,1000070140.000000,9.494929,0.285971,2.281098,1.000000,0.000018
Secondary ,Gas,ionIoni,1000070140.000000,9.494933,0.285971,2.281098,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.494977,0.285965,2.281093,1.000000,0.000347
Secondary ,Gas,ionIoni,1000070140.000000,9.494999,0.285962,2.281090,1.000000,0.000177
Secondary ,Gas,ionIoni,1000070140.000000,9.495008,0.285961,2.281090,1.000000,0.000038
Secondary ,Gas,ionIoni,1000070140.000000,9.495031,0.285958,2.281087,1.000000,0.000272
Secondary ,Gas,ionIoni,1000070140.000000,9.495040,0.285956,2.281086,1.000000,0.000116
